First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Mark,Alarie,F,Regular Season,(1986-87),(1990-91),325,41,"5,500","1,037","2,184",47%,34,135,25%,324,418,78%,438,682,"1,120",363,132,109,309,712,"2,432",,---,---,16.92,3.19,6.72,47%,0.10,0.42,25%,1.00,1.29,78%,1.35,2.10,3.45,1.12,0.41,0.34,0.95,2.19,7.48
Gary,Alcorn,C,Regular Season,(1959-60),(1960-61),78,---,844,103,352,29%,---,---,---,55,92,60%,---,---,329,24,---,---,---,170,261,,---,---,10.82,1.32,4.51,29%,---,---,---,0.71,1.18,60%,---,---,4.22,0.31,---,---,---,2.18,3.35
Furkan,Aldemir,F-C,Regular Season,(2014-15),(2014-15),41,9,540,40,78,51%,0,5,0%,13,27,48%,78,98,176,28,17,16,17,96,93,,---,---,13.17,0.98,1.90,51%,0.00,0.12,0%,0.32,0.66,48%,1.90,2.39,4.29,0.68,0.41,0.39,0.41,2.34,2.27
Cole,Aldrich,C,Regular Season,(2010-11),(2017-18),339,23,"3,389",435,825,53%,0,0,,180,244,74%,334,797,"1,131",183,137,233,199,509,"1,050",,---,---,10.00,1.28,2.43,53%,0.00,0.00,,0.53,0.72,74%,0.99,2.35,3.34,0.54,0.40,0.69,0.59,1.50,3.10
LaMarcus,Aldridge,F,Regular Season,(2006-07),(2019-20),"1,003",962,"34,518","7,919","16,118",49%,182,584,31%,"3,579","4,414",81%,"2,686","5,675","8,361","1,985",733,"1,112","1,572","2,474","19,599",,---,---,34.41,7.90,16.07,49%,0.18,0.58,31%,3.57,4.40,81%,2.68,5.66,8.34,1.98,0.73,1.11,1.57,2.47,19.54
Chuck,Aleksinas,C,Regular Season,(1984-85),(1984-85),74,4,"1,114",161,337,48%,0,1,0%,55,75,73%,87,183,270,36,15,15,72,171,377,,---,---,15.05,2.18,4.55,48%,0.00,0.01,0%,0.74,1.01,73%,1.18,2.47,3.65,0.49,0.20,0.20,0.97,2.31,5.09
Kyle,Alexander,F,Regular Season,(2019-20),(2019-20),2,0,13,1,2,50%,0,0,,0,0,,2,1,3,0,0,0,1,1,2,,---,---,6.50,0.50,1.00,50%,0.00,0.00,,0.00,0.00,,1.00,0.50,1.50,0.00,0.00,0.00,0.50,0.50,1.00
Cliff,Alexander,F,Regular Season,(2015-16),(2015-16),8,0,36,5,10,50%,0,0,,0,0,,2,4,6,0,1,2,1,1,10,,---,---,4.50,0.63,1.25,50%,0.00,0.00,,0.00,0.00,,0.25,0.50,0.75,0.00,0.13,0.25,0.13,0.13,1.25
Joe,Alexander,F,Regular Season,(2008-09),(2009-10),67,0,745,103,251,41%,16,47,34%,60,86,70%,46,74,120,44,16,30,52,116,282,,---,---,11.12,1.54,3.75,41%,0.24,0.70,34%,0.90,1.28,70%,0.69,1.10,1.79,0.66,0.24,0.45,0.78,1.73,4.21
Cory,Alexander,G,Regular Season,(1995-96),(2004-05),307,35,"4,847",587,"1,508",39%,237,669,35%,266,352,76%,78,403,481,834,263,37,467,514,"1,677",,---,---,15.79,1.91,4.91,39%,0.77,2.18,35%,0.87,1.15,76%,0.25,1.31,1.57,2.72,0.86,0.12,1.52,1.67,5.46
Courtney,Alexander,G,Regular Season,(2000-01),(2002-03),187,59,"4,067",655,"1,552",42%,41,121,34%,339,417,81%,124,285,409,227,111,18,203,377,"1,690",,---,---,21.75,3.50,8.30,42%,0.22,0.65,34%,1.81,2.23,81%,0.66,1.52,2.19,1.21,0.59,0.10,1.09,2.02,9.04
Victor,Alexander,C-F,Regular Season,(1991-92),(2001-02),286,155,"5,755","1,101","2,126",52%,18,63,29%,322,508,63%,446,938,"1,384",257,135,177,378,713,"2,542",,---,---,20.12,3.85,7.43,52%,0.06,0.22,29%,1.13,1.78,63%,1.56,3.28,4.84,0.90,0.47,0.62,1.32,2.49,8.89
Gary,Alexander,F,Regular Season,(1993-94),(1993-94),11,0,55,8,14,57%,0,0,,3,9,33%,7,8,15,2,3,0,8,10,19,,---,---,5.00,0.73,1.27,57%,0.00,0.00,,0.27,0.82,33%,0.64,0.73,1.36,0.18,0.27,0.00,0.73,0.91,1.73
Nickeil,Alexander-Walker,G,Regular Season,(2019-20),(2019-20),47,1,591,98,266,37%,46,133,35%,25,37,68%,9,75,84,89,17,8,54,57,267,,---,---,12.57,2.09,5.66,37%,0.98,2.83,35%,0.53,0.79,68%,0.19,1.60,1.79,1.89,0.36,0.17,1.15,1.21,5.68
Steve,Alford,G,Regular Season,(1987-88),(1990-91),169,3,"1,641",291,634,46%,35,108,32%,127,146,87%,25,119,144,176,85,10,89,113,744,,---,---,9.71,1.72,3.75,46%,0.21,0.64,32%,0.75,0.86,87%,0.15,0.70,0.85,1.04,0.50,0.06,0.53,0.67,4.40
Rawle,Alkins,G,Regular Season,(2018-19),(2018-19),10,1,120,13,39,33%,3,12,25%,8,12,67%,11,15,26,13,1,0,8,7,37,,---,---,12.00,1.30,3.90,33%,0.30,1.20,25%,0.80,1.20,67%,1.10,1.50,2.60,1.30,0.10,0.00,0.80,0.70,3.70
Jarrett,Allen,C,Regular Season,(2017-18),(2019-20),222,175,"5,389",871,"1,430",61%,11,66,17%,482,695,69%,551,"1,180","1,731",269,111,300,262,493,"2,235",,---,---,24.27,3.92,6.44,61%,0.05,0.30,17%,2.17,3.13,69%,2.48,5.32,7.80,1.21,0.50,1.35,1.18,2.22,10.07
Grayson,Allen,G,Regular Season,(2018-19),(2019-20),76,2,"1,134",184,429,43%,89,240,37%,84,105,80%,11,97,108,77,16,8,66,100,541,,---,---,14.92,2.42,5.64,43%,1.17,3.16,37%,1.11,1.38,80%,0.14,1.28,1.42,1.01,0.21,0.11,0.87,1.32,7.12
