First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Stojko,Vrankovic,C,Playoffs,(1990-91),(1996-97),3,0,13,2,4,50%,0,0,,0,1,0%,1,2,3,1,0,0,1,2,4,,---,---,4.33,0.67,1.33,50%,0.00,0.00,,0.00,0.33,0%,0.33,0.67,1.00,0.33,0.00,0.00,0.33,0.67,1.33
Nikola,Vucevic,C,Playoffs,(2011-12),(2019-20),11,10,335,77,170,45%,21,57,37%,22,27,81%,18,78,96,35,6,8,26,25,197,,---,---,30.45,7.00,15.45,45%,1.91,5.18,37%,2.00,2.45,81%,1.64,7.09,8.73,3.18,0.55,0.73,2.36,2.27,17.91
Sasha,Vujacic,G,Playoffs,(2005-06),(2009-10),65,0,954,105,287,37%,63,164,38%,51,58,88%,23,84,107,42,29,8,37,104,324,,---,---,14.68,1.62,4.42,37%,0.97,2.52,38%,0.78,0.89,88%,0.35,1.29,1.65,0.65,0.45,0.12,0.57,1.60,4.98
Dwyane,Wade,G,Playoffs,(2003-04),(2017-18),177,172,"6,697","1,450","3,062",47%,103,305,34%,951,"1,220",78%,234,694,928,870,273,175,583,467,"3,954",,---,---,37.84,8.19,17.30,47%,0.58,1.72,34%,5.37,6.89,78%,1.32,3.92,5.24,4.92,1.54,0.99,3.29,2.64,22.34
Von,Wafer,G,Playoffs,(2008-09),(2011-12),17,0,192,42,99,42%,9,23,39%,19,22,86%,0,14,14,9,2,1,12,12,112,,---,---,11.29,2.47,5.82,42%,0.53,1.35,39%,1.12,1.29,86%,0.00,0.82,0.82,0.53,0.12,0.06,0.71,0.71,6.59
Clint,Wager,C-F,Playoffs,(1949-50),(1949-50),4,---,---,11,25,44%,---,---,---,8,10,80%,---,---,---,8,---,---,---,22,30,,---,---,---,2.75,6.25,44%,---,---,---,2.00,2.50,80%,---,---,---,2.00,---,---,---,5.50,7.50
Milt,Wagner,G,Playoffs,(1987-88),(1987-88),5,0,14,2,5,40%,0,1,0%,2,2,100%,0,2,2,3,0,1,0,3,6,,---,---,2.80,0.40,1.00,40%,0.00,0.20,0%,0.40,0.40,100%,0.00,0.40,0.40,0.60,0.00,0.20,0.00,0.60,1.20
Dion,Waiters,G,Playoffs,(2015-16),(2019-20),23,0,529,59,144,41%,21,60,35%,22,32,69%,6,43,49,44,11,4,21,44,161,,---,---,23.00,2.57,6.26,41%,0.91,2.61,35%,0.96,1.39,69%,0.26,1.87,2.13,1.91,0.48,0.17,0.91,1.91,7.00
Granville,Waiters,C,Playoffs,(1985-86),(1986-87),13,0,34,4,7,57%,0,0,,0,0,,2,4,6,0,1,4,1,4,8,,---,---,2.62,0.31,0.54,57%,0.00,0.00,,0.00,0.00,,0.15,0.31,0.46,0.00,0.08,0.31,0.08,0.31,0.62
Neal,Walk,C,Playoffs,(1969-70),(1974-75),8,,102,22,53,42%,---,---,---,6,8,75%,0,5,40,4,1,2,---,17,50,,---,---,12.75,2.75,6.63,42%,---,---,---,0.75,1.00,75%,0.00,0.63,5.00,0.50,0.13,0.25,---,2.13,6.25
Kemba,Walker,G,Playoffs,(2013-14),(2019-20),28,28,"1,041",195,464,42%,65,193,34%,116,134,87%,10,95,105,138,32,14,59,59,571,,---,---,37.18,6.96,16.57,42%,2.32,6.89,34%,4.14,4.79,87%,0.36,3.39,3.75,4.93,1.14,0.50,2.11,2.11,20.39
Lonnie,Walker,G,Playoffs,(2018-19),(2018-19),6,0,21,3,8,38%,0,1,0%,0,0,,0,2,2,3,0,0,0,0,6,,---,---,3.50,0.50,1.33,38%,0.00,0.17,0%,0.00,0.00,,0.00,0.33,0.33,0.50,0.00,0.00,0.00,0.00,1.00
Henry,Walker,F,Playoffs,(2008-09),(2010-11),8,0,99,9,32,28%,3,11,27%,4,5,80%,5,8,13,4,7,0,9,11,25,,---,---,12.38,1.13,4.00,28%,0.38,1.38,27%,0.50,0.63,80%,0.63,1.00,1.63,0.50,0.88,0.00,1.13,1.38,3.13
Antoine,Walker,F,Playoffs,(2001-02),(2006-07),64,60,"2,461",398,980,41%,122,347,35%,112,169,66%,100,357,457,183,79,28,170,212,"1,030",,---,---,38.45,6.22,15.31,41%,1.91,5.42,35%,1.75,2.64,66%,1.56,5.58,7.14,2.86,1.23,0.44,2.66,3.31,16.09
Samaki,Walker,F,Playoffs,(1999-00),(2003-04),48,9,497,45,105,43%,1,1,100%,25,37,68%,54,97,151,11,5,21,24,80,116,,---,---,10.35,0.94,2.19,43%,0.02,0.02,100%,0.52,0.77,68%,1.13,2.02,3.15,0.23,0.10,0.44,0.50,1.67,2.42
Darrell,Walker,G,Playoffs,(1983-84),(1992-93),34,3,508,64,174,37%,0,1,0%,49,76,64%,37,45,82,48,34,6,51,58,177,,---,---,14.94,1.88,5.12,37%,0.00,0.03,0%,1.44,2.24,64%,1.09,1.32,2.41,1.41,1.00,0.18,1.50,1.71,5.21
Kenny,Walker,F,Playoffs,(1987-88),(1990-91),26,4,355,31,74,42%,0,1,0%,27,37,73%,17,40,57,15,4,11,9,63,89,,---,---,13.65,1.19,2.85,42%,0.00,0.04,0%,1.04,1.42,73%,0.65,1.54,2.19,0.58,0.15,0.42,0.35,2.42,3.42
Foots,Walker,G,Playoffs,(1975-76),(1983-84),22,,330,41,97,42%,0,0,,27,33,82%,14,21,35,64,14,4,8,37,109,,---,---,15.00,1.86,4.41,42%,0.00,0.00,,1.23,1.50,82%,0.64,0.95,1.59,2.91,0.64,0.18,0.36,1.68,4.95
Wally,Walker,F,Playoffs,(1976-77),(1981-82),64,,743,99,217,46%,0,0,,45,65,69%,56,67,123,44,16,11,34,136,243,,---,---,11.61,1.55,3.39,46%,0.00,0.00,,0.70,1.02,69%,0.88,1.05,1.92,0.69,0.25,0.17,0.53,2.13,3.80
Phil,Walker,G,Playoffs,(1977-78),(1977-78),4,,17,1,8,13%,---,---,---,4,5,80%,1,1,2,2,0,0,3,5,6,,---,---,4.25,0.25,2.00,13%,---,---,---,1.00,1.25,80%,0.25,0.25,0.50,0.50,0.00,0.00,0.75,1.25,1.50
Jimmy,Walker,G,Playoffs,(1967-68),(1974-75),12,,346,70,151,46%,---,---,---,28,35,80%,1,9,19,26,5,1,---,29,168,,---,---,28.83,5.83,12.58,46%,---,---,---,2.33,2.92,80%,0.08,0.75,1.58,2.17,0.42,0.08,---,2.42,14.00
Chet,Walker,F-G,Playoffs,(1962-63),(1974-75),105,,"3,688",687,"1,531",45%,---,---,---,542,689,79%,36,85,737,212,23,2,---,286,"1,916",,---,---,35.12,6.54,14.58,45%,---,---,---,5.16,6.56,79%,0.34,0.81,7.02,2.02,0.22,0.02,---,2.72,18.25
John,Wall,G,Playoffs,(2013-14),(2017-18),37,37,"1,434",286,682,42%,35,131,27%,203,247,82%,20,139,159,364,64,41,145,84,810,,---,---,38.76,7.73,18.43,42%,0.95,3.54,27%,5.49,6.68,82%,0.54,3.76,4.30,9.84,1.73,1.11,3.92,2.27,21.89
Tyrone,Wallace,G,Playoffs,(2018-19),(2018-19),2,0,11,1,4,25%,0,0,,2,3,67%,0,1,1,3,0,0,1,2,4,,---,---,5.50,0.50,2.00,25%,0.00,0.00,,1.00,1.50,67%,0.00,0.50,0.50,1.50,0.00,0.00,0.50,1.00,2.00
Gerald,Wallace,F,Playoffs,(2001-02),(2014-15),33,17,689,87,191,46%,19,57,33%,69,95,73%,17,111,128,45,22,17,34,59,262,,---,---,20.88,2.64,5.79,46%,0.58,1.73,33%,2.09,2.88,73%,0.52,3.36,3.88,1.36,0.67,0.52,1.03,1.79,7.94
Rasheed,Wallace,F-C,Playoffs,(1996-97),(2009-10),177,154,"5,838",917,"2,065",44%,190,540,35%,360,502,72%,236,863,"1,099",264,145,225,228,645,"2,384",,---,---,32.98,5.18,11.67,44%,1.07,3.05,35%,2.03,2.84,72%,1.33,4.88,6.21,1.49,0.82,1.27,1.29,3.64,13.47
Ben,Wallace,F-C,Playoffs,(2001-02),(2008-09),130,116,"4,524",364,755,48%,0,10,0%,211,505,42%,463,991,"1,454",173,199,250,136,296,939,,---,---,34.80,2.80,5.81,48%,0.00,0.08,0%,1.62,3.88,42%,3.56,7.62,11.18,1.33,1.53,1.92,1.05,2.28,7.22
John,Wallace,F,Playoffs,(1996-97),(1999-00),5,1,44,4,17,24%,0,1,0%,2,2,100%,2,6,8,5,2,2,3,7,10,,---,---,8.80,0.80,3.40,24%,0.00,0.20,0%,0.40,0.40,100%,0.40,1.20,1.60,1.00,0.40,0.40,0.60,1.40,2.00
Rex,Walters,G,Playoffs,(1993-94),(1998-99),4,0,14,1,4,25%,0,2,0%,0,0,,0,0,0,4,0,0,0,0,2,,---,---,3.50,0.25,1.00,25%,0.00,0.50,0%,0.00,0.00,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.50
Paul,Walther,G-F,Playoffs,(1949-50),(1954-55),23,---,255,40,106,38%,---,---,---,63,87,72%,---,---,40,35,---,---,---,59,143,,---,---,11.09,1.74,4.61,38%,---,---,---,2.74,3.78,72%,---,---,1.74,1.52,---,---,---,2.57,6.22
Luke,Walton,F,Playoffs,(2003-04),(2010-11),88,12,"1,282",145,345,42%,32,89,36%,54,77,70%,53,151,204,151,47,13,86,156,376,,---,---,14.57,1.65,3.92,42%,0.36,1.01,36%,0.61,0.88,70%,0.60,1.72,2.32,1.72,0.53,0.15,0.98,1.77,4.27
Bill,Walton,C-F,Playoffs,(1976-77),(1986-87),49,0,"1,197",230,438,53%,0,1,0%,68,101,67%,95,349,444,145,32,83,36,149,528,,---,---,24.43,4.69,8.94,53%,0.00,0.02,0%,1.39,2.06,67%,1.94,7.12,9.06,2.96,0.65,1.69,0.73,3.04,10.78
Lloyd,Walton,G,Playoffs,(1977-78),(1980-81),18,,201,21,51,41%,0,1,0%,11,17,65%,4,8,12,57,12,4,24,14,53,,---,---,11.17,1.17,2.83,41%,0.00,0.06,0%,0.61,0.94,65%,0.22,0.44,0.67,3.17,0.67,0.22,1.33,0.78,2.94
Brad,Wanamaker,G,Playoffs,(2018-19),(2019-20),21,0,290,32,67,48%,13,28,46%,17,20,85%,2,33,35,33,13,4,20,32,94,,---,---,13.81,1.52,3.19,48%,0.62,1.33,46%,0.81,0.95,85%,0.10,1.57,1.67,1.57,0.62,0.19,0.95,1.52,4.48
Bobby,Wanzer,G,Playoffs,(1948-49),(1954-55),38,---,710,171,402,43%,---,---,---,212,241,88%,---,---,186,134,---,---,---,123,554,,---,---,18.68,4.50,10.58,43%,---,---,---,5.58,6.34,88%,---,---,4.89,3.53,---,---,---,3.24,14.58
Charlie,Ward,G,Playoffs,(1995-96),(2003-04),72,46,"1,567",147,348,42%,58,166,35%,44,62,71%,33,150,183,264,105,10,92,146,396,,---,---,21.76,2.04,4.83,42%,0.81,2.31,35%,0.61,0.86,71%,0.46,2.08,2.54,3.67,1.46,0.14,1.28,2.03,5.50
Henry,Ward,G-F,Playoffs,(1976-77),(1976-77),1,,1,2,3,67%,---,---,---,0,0,,0,0,0,0,0,0,---,0,4,,---,---,1.00,2.00,3.00,67%,---,---,---,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,---,0.00,4.00
Gerry,Ward,G,Playoffs,(1963-64),(1966-67),14,---,118,13,34,38%,---,---,---,3,6,50%,---,---,10,11,---,---,---,27,29,,---,---,8.43,0.93,2.43,38%,---,---,---,0.21,0.43,50%,---,---,0.71,0.79,---,---,---,1.93,2.07
Jim,Ware,F,Playoffs,(1966-67),(1966-67),3,---,13,5,13,38%,---,---,---,0,0,,---,---,2,0,---,---,---,1,10,,---,---,4.33,1.67,4.33,38%,---,---,---,0.00,0.00,,---,---,0.67,0.00,---,---,---,0.33,3.33
Ben,Warley,F-G,Playoffs,(1962-63),(1965-66),10,---,109,9,32,28%,---,---,---,13,20,65%,---,---,39,3,---,---,---,16,31,,---,---,10.90,0.90,3.20,28%,---,---,---,1.30,2.00,65%,---,---,3.90,0.30,---,---,---,1.60,3.10
Bob,Warlick,G-F,Playoffs,(1966-67),(1967-68),12,---,234,55,120,46%,---,---,---,28,37,76%,---,---,53,25,---,---,---,26,138,,---,---,19.50,4.58,10.00,46%,---,---,---,2.33,3.08,76%,---,---,4.42,2.08,---,---,---,2.17,11.50
Cornell,Warner,F-C,Playoffs,(1973-74),(1976-77),21,,561,54,123,44%,---,---,---,13,19,68%,37,135,172,26,8,14,---,81,121,,---,---,26.71,2.57,5.86,44%,---,---,---,0.62,0.90,68%,1.76,6.43,8.19,1.24,0.38,0.67,---,3.86,5.76
T.J.,Warren,F,Playoffs,(2019-20),(2019-20),4,4,156,32,68,47%,7,19,37%,9,9,100%,5,20,25,12,9,1,11,16,80,,---,---,39.00,8.00,17.00,47%,1.75,4.75,37%,2.25,2.25,100%,1.25,5.00,6.25,3.00,2.25,0.25,2.75,4.00,20.00
John,Warren,G-F,Playoffs,(1969-70),(1969-70),10,---,22,2,5,40%,---,---,---,0,0,,---,---,3,2,---,---,---,6,4,,---,---,2.20,0.20,0.50,40%,---,---,---,0.00,0.00,,---,---,0.30,0.20,---,---,---,0.60,0.40
Hakim,Warrick,F,Playoffs,(2005-06),(2009-10),6,1,74,6,27,22%,0,2,0%,17,20,85%,4,8,12,0,1,0,6,10,29,,---,---,12.33,1.00,4.50,22%,0.00,0.33,0%,2.83,3.33,85%,0.67,1.33,2.00,0.00,0.17,0.00,1.00,1.67,4.83
Chris,Washburn,C,Playoffs,(1986-87),(1987-88),6,0,31,3,7,43%,0,0,,5,6,83%,0,1,1,2,0,0,4,2,11,,---,---,5.17,0.50,1.17,43%,0.00,0.00,,0.83,1.00,83%,0.00,0.17,0.17,0.33,0.00,0.00,0.67,0.33,1.83
Kermit,Washington,F-C,Playoffs,(1973-74),(1980-81),9,,263,30,60,50%,0,2,0%,12,17,71%,35,58,93,14,10,6,11,18,72,,---,---,29.22,3.33,6.67,50%,0.00,0.22,0%,1.33,1.89,71%,3.89,6.44,10.33,1.56,1.11,0.67,1.22,2.00,8.00
Richard,Washington,F-C,Playoffs,(1978-79),(1979-80),11,,164,36,67,54%,0,0,,3,6,50%,10,23,33,3,5,9,9,39,75,,---,---,14.91,3.27,6.09,54%,0.00,0.00,,0.27,0.55,50%,0.91,2.09,3.00,0.27,0.45,0.82,0.82,3.55,6.82
Jim,Washington,F-C,Playoffs,(1965-66),(1974-75),42,,"1,106",151,340,44%,---,---,---,67,112,60%,3,4,300,58,0,0,---,111,369,,---,---,26.33,3.60,8.10,44%,---,---,---,1.60,2.67,60%,0.07,0.10,7.14,1.38,0.00,0.00,---,2.64,8.79
Tremont,Waters,G,Playoffs,(2019-20),(2019-20),1,0,2,0,1,0%,0,1,0%,0,0,,0,1,1,1,0,0,0,0,0,,---,---,2.00,0.00,1.00,0%,0.00,1.00,0%,0.00,0.00,,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
Paul,Watson,F,Playoffs,(2019-20),(2019-20),2,0,9,1,2,50%,0,0,,0,0,,0,0,0,1,1,0,0,0,2,,---,---,4.50,0.50,1.00,50%,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,1.00
C.J.,Watson,G,Playoffs,(2010-11),(2013-14),48,5,803,94,259,36%,27,86,31%,47,67,70%,11,73,84,95,34,2,39,70,262,,---,---,16.73,1.96,5.40,36%,0.56,1.79,31%,0.98,1.40,70%,0.23,1.52,1.75,1.98,0.71,0.04,0.81,1.46,5.46
Earl,Watson,G,Playoffs,(2003-04),(2013-14),12,0,150,16,40,40%,1,13,8%,5,5,100%,7,13,20,23,8,1,9,20,38,,---,---,12.50,1.33,3.33,40%,0.08,1.08,8%,0.42,0.42,100%,0.58,1.08,1.67,1.92,0.67,0.08,0.75,1.67,3.17
Jamie,Watson,F,Playoffs,(1994-95),(1994-95),5,0,57,6,9,67%,0,0,,0,0,,1,0,1,3,2,1,6,12,12,,---,---,11.40,1.20,1.80,67%,0.00,0.00,,0.00,0.00,,0.20,0.00,0.20,0.60,0.40,0.20,1.20,2.40,2.40
Don,Watts,G,Playoffs,(1974-75),(1978-79),17,,522,79,177,45%,---,---,---,27,52,52%,19,39,58,120,43,7,7,66,185,,---,---,30.71,4.65,10.41,45%,---,---,---,1.59,3.06,52%,1.12,2.29,3.41,7.06,2.53,0.41,0.41,3.88,10.88
Ron,Watts,F,Playoffs,(1966-67),(1966-67),1,---,5,1,6,17%,---,---,---,1,2,50%,---,---,2,0,---,---,---,3,3,,---,---,5.00,1.00,6.00,17%,---,---,---,1.00,2.00,50%,---,---,2.00,0.00,---,---,---,3.00,3.00
Clarence,Weatherspoon,F,Playoffs,(1998-99),(2004-05),18,0,305,36,91,40%,0,0,,28,47,60%,24,42,66,3,11,4,11,35,100,,---,---,16.94,2.00,5.06,40%,0.00,0.00,,1.56,2.61,60%,1.33,2.33,3.67,0.17,0.61,0.22,0.61,1.94,5.56
Nick,Weatherspoon,F,Playoffs,(1973-74),(1975-76),31,,715,115,235,49%,---,---,---,51,73,70%,46,104,150,26,18,8,---,95,281,,---,---,23.06,3.71,7.58,49%,---,---,---,1.65,2.35,70%,1.48,3.35,4.84,0.84,0.58,0.26,---,3.06,9.06
Kyle,Weaver,G,Playoffs,(2009-10),(2009-10),1,0,12,1,4,25%,0,1,0%,0,0,,0,2,2,2,0,0,0,2,2,,---,---,12.00,1.00,4.00,25%,0.00,1.00,0%,0.00,0.00,,0.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00,2.00
Spud,Webb,G,Playoffs,(1985-86),(1990-91),39,6,725,114,249,46%,7,23,30%,86,105,82%,19,66,85,198,30,2,51,64,321,,---,---,18.59,2.92,6.38,46%,0.18,0.59,30%,2.21,2.69,82%,0.49,1.69,2.18,5.08,0.77,0.05,1.31,1.64,8.23
Jeff,Webb,G,Playoffs,(1970-71),(1970-71),9,,23,4,7,57%,---,---,---,3,3,100%,---,---,1,2,---,---,---,2,11,,---,---,2.56,0.44,0.78,57%,---,---,---,0.33,0.33,100%,---,---,0.11,0.22,---,---,---,0.22,1.22
Chris,Webber,F-C,Playoffs,(1993-94),(2006-07),80,80,"2,900",617,"1,330",46%,14,52,27%,247,404,61%,220,476,696,291,91,92,227,286,"1,495",,---,---,36.25,7.71,16.63,46%,0.18,0.65,27%,3.09,5.05,61%,2.75,5.95,8.70,3.64,1.14,1.15,2.84,3.58,18.69
Briante,Weber,G,Playoffs,(2015-16),(2015-16),2,0,6,0,1,0%,0,0,,0,0,,0,0,0,1,1,0,0,1,0,,---,---,3.00,0.00,0.50,0%,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.50,0.00
Martell,Webster,G-F,Playoffs,(2009-10),(2014-15),18,0,351,38,95,40%,11,44,25%,16,27,59%,11,40,51,9,9,8,7,27,103,,---,---,19.50,2.11,5.28,40%,0.61,2.44,25%,0.89,1.50,59%,0.61,2.22,2.83,0.50,0.50,0.44,0.39,1.50,5.72
Marvin,Webster,C,Playoffs,(1976-77),(1983-84),48,,"1,382",177,365,48%,0,0,,108,167,65%,150,273,423,68,12,94,83,144,462,,---,---,28.79,3.69,7.60,48%,0.00,0.00,,2.25,3.48,65%,3.13,5.69,8.81,1.42,0.25,1.96,1.73,3.00,9.63
Scott,Wedman,F-G,Playoffs,(1974-75),(1985-86),85,1,"1,961",368,812,45%,27,70,39%,119,171,70%,105,217,322,150,63,20,90,189,882,,---,---,23.07,4.33,9.55,45%,0.32,0.82,39%,1.40,2.01,70%,1.24,2.55,3.79,1.76,0.74,0.24,1.06,2.22,10.38
Bob,Weiss,G,Playoffs,(1966-67),(1976-77),53,,"1,103",167,392,43%,---,---,---,73,91,80%,8,26,89,164,14,2,---,111,407,,---,---,20.81,3.15,7.40,43%,---,---,---,1.38,1.72,80%,0.15,0.49,1.68,3.09,0.26,0.04,---,2.09,7.68
Rick,Weitzman,G,Playoffs,(1967-68),(1967-68),3,---,5,2,3,67%,---,---,---,0,0,,---,---,1,1,---,---,---,0,4,,---,---,1.67,0.67,1.00,67%,---,---,---,0.00,0.00,,---,---,0.33,0.33,---,---,---,0.00,1.33
Bonzi,Wells,G-F,Playoffs,(1999-00),(2007-08),48,16,"1,100",198,435,46%,16,58,28%,107,162,66%,61,153,214,75,43,11,82,134,519,,---,---,22.92,4.13,9.06,46%,0.33,1.21,28%,2.23,3.38,66%,1.27,3.19,4.46,1.56,0.90,0.23,1.71,2.79,10.81
Owen,Wells,F,Playoffs,(1974-75),(1974-75),4,,5,3,5,60%,---,---,---,0,0,,0,1,1,1,0,0,---,1,6,,---,---,1.25,0.75,1.25,60%,---,---,---,0.00,0.00,,0.00,0.25,0.25,0.25,0.00,0.00,---,0.25,1.50
Chris,Welp,C,Playoffs,(1988-89),(1988-89),3,0,22,1,3,33%,0,0,,0,2,0%,0,7,7,0,0,0,1,7,2,,---,---,7.33,0.33,1.00,33%,0.00,0.00,,0.00,0.67,0%,0.00,2.33,2.33,0.00,0.00,0.00,0.33,2.33,0.67
Jiri,Welsch,G,Playoffs,(2003-04),(2005-06),8,4,119,13,27,48%,1,4,25%,12,13,92%,0,15,15,11,3,0,8,8,39,,---,---,14.88,1.63,3.38,48%,0.13,0.50,25%,1.50,1.63,92%,0.00,1.88,1.88,1.38,0.38,0.00,1.00,1.00,4.88
Bill,Wennington,C,Playoffs,(1985-86),(1997-98),70,0,572,79,172,46%,1,2,50%,19,28,68%,41,60,101,25,14,11,28,122,178,,---,---,8.17,1.13,2.46,46%,0.01,0.03,50%,0.27,0.40,68%,0.59,0.86,1.44,0.36,0.20,0.16,0.40,1.74,2.54
Ray,Wertis,G,Playoffs,(1946-47),(1946-47),3,---,---,6,26,23%,---,---,---,4,5,80%,---,---,---,6,---,---,---,6,16,,---,---,---,2.00,8.67,23%,---,---,---,1.33,1.67,80%,---,---,---,2.00,---,---,---,2.00,5.33
David,Wesley,G,Playoffs,(1993-94),(2004-05),55,52,"1,934",239,601,40%,78,191,41%,109,137,80%,21,100,121,205,62,5,104,164,665,,---,---,35.16,4.35,10.93,40%,1.42,3.47,41%,1.98,2.49,80%,0.38,1.82,2.20,3.73,1.13,0.09,1.89,2.98,12.09
Walt,Wesley,C,Playoffs,(1966-67),(1973-74),8,,83,18,41,44%,---,---,---,6,12,50%,0,0,28,2,0,0,---,16,42,,---,---,10.38,2.25,5.13,44%,---,---,---,0.75,1.50,50%,0.00,0.00,3.50,0.25,0.00,0.00,---,2.00,5.25
David,West,F,Playoffs,(2003-04),(2017-18),118,66,"3,138",537,"1,128",48%,8,25,32%,253,318,80%,151,504,655,265,74,95,174,273,"1,335",,---,---,26.59,4.55,9.56,48%,0.07,0.21,32%,2.14,2.69,80%,1.28,4.27,5.55,2.25,0.63,0.81,1.47,2.31,11.31
Delonte,West,G,Playoffs,(2004-05),(2011-12),58,33,"1,686",189,428,44%,48,133,36%,100,118,85%,28,118,146,165,58,17,102,122,526,,---,---,29.07,3.26,7.38,44%,0.83,2.29,36%,1.72,2.03,85%,0.48,2.03,2.52,2.84,1.00,0.29,1.76,2.10,9.07
Mario,West,G,Playoffs,(2007-08),(2009-10),24,0,72,6,17,35%,0,2,0%,1,5,20%,2,7,9,3,3,0,1,9,13,,---,---,3.00,0.25,0.71,35%,0.00,0.08,0%,0.04,0.21,20%,0.08,0.29,0.38,0.13,0.13,0.00,0.04,0.38,0.54
Mark,West,C-F,Playoffs,(1983-84),(1998-99),95,69,"1,755",201,355,57%,0,0,,94,163,58%,152,270,422,36,24,119,81,293,496,,---,---,18.47,2.12,3.74,57%,0.00,0.00,,0.99,1.72,58%,1.60,2.84,4.44,0.38,0.25,1.25,0.85,3.08,5.22
Doug,West,G-F,Playoffs,(1996-97),(1996-97),3,3,87,12,22,55%,0,2,0%,9,9,100%,0,4,4,6,2,1,1,11,33,,---,---,29.00,4.00,7.33,55%,0.00,0.67,0%,3.00,3.00,100%,0.00,1.33,1.33,2.00,0.67,0.33,0.33,3.67,11.00
Jerry,West,G,Playoffs,(1960-61),(1973-74),153,,"6,321","1,622","3,460",47%,---,---,---,"1,213","1,506",81%,0,2,855,970,0,0,---,451,"4,457",,---,---,41.31,10.60,22.61,47%,---,---,---,7.93,9.84,81%,0.00,0.01,5.59,6.34,0.00,0.00,---,2.95,29.13
Russell,Westbrook,G,Playoffs,(2009-10),(2019-20),106,106,"3,982",920,"2,237",41%,148,497,30%,644,777,83%,193,548,741,815,196,30,420,307,"2,632",,---,---,37.57,8.68,21.10,41%,1.40,4.69,30%,6.08,7.33,83%,1.82,5.17,6.99,7.69,1.85,0.28,3.96,2.90,24.83
Paul,Westphal,G,Playoffs,(1972-73),(1983-84),107,,"2,449",553,"1,149",48%,6,29,21%,225,285,79%,40,106,153,353,89,23,89,241,"1,337",,---,---,22.89,5.17,10.74,48%,0.06,0.27,21%,2.10,2.66,79%,0.37,0.99,1.43,3.30,0.83,0.21,0.83,2.25,12.50
John,Wetzel,G-F,Playoffs,(1972-73),(1975-76),5,,38,3,7,43%,---,---,---,2,2,100%,0,2,4,4,0,0,---,8,8,,---,---,7.60,0.60,1.40,43%,---,---,---,0.40,0.40,100%,0.00,0.40,0.80,0.80,0.00,0.00,---,1.60,1.60
Ennis,Whatley,G,Playoffs,(1986-87),(1994-95),31,2,260,18,64,28%,0,1,0%,10,12,83%,5,26,31,32,16,0,21,33,46,,---,---,8.39,0.58,2.06,28%,0.00,0.03,0%,0.32,0.39,83%,0.16,0.84,1.00,1.03,0.52,0.00,0.68,1.06,1.48
DeJuan,Wheat,G,Playoffs,(1997-98),(1997-98),1,0,3,1,2,50%,0,0,,0,0,,0,1,1,0,1,0,0,0,2,,---,---,3.00,1.00,2.00,50%,0.00,0.00,,0.00,0.00,,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00
Derrick,White,G,Playoffs,(2017-18),(2018-19),10,7,209,44,81,54%,6,19,32%,19,26,73%,1,20,21,22,6,7,15,17,113,,---,---,20.90,4.40,8.10,54%,0.60,1.90,32%,1.90,2.60,73%,0.10,2.00,2.10,2.20,0.60,0.70,1.50,1.70,11.30
D.J.,White,F,Playoffs,(2013-14),(2013-14),1,0,3,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,,---,---,3.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00
James,White,G-F,Playoffs,(2008-09),(2012-13),9,0,21,5,13,38%,1,4,25%,0,0,,2,1,3,0,0,0,1,1,11,,---,---,2.33,0.56,1.44,38%,0.11,0.44,25%,0.00,0.00,,0.22,0.11,0.33,0.00,0.00,0.00,0.11,0.11,1.22
Rodney,White,F,Playoffs,(2001-02),(2003-04),5,0,28,4,16,25%,0,3,0%,0,0,,1,4,5,0,2,0,3,3,8,,---,---,5.60,0.80,3.20,25%,0.00,0.60,0%,0.00,0.00,,0.20,0.80,1.00,0.00,0.40,0.00,0.60,0.60,1.60
Randy,White,F,Playoffs,(1989-90),(1989-90),1,0,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,---,---,2.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Willie,White,G,Playoffs,(1984-85),(1985-86),14,3,144,29,64,45%,3,7,43%,7,12,58%,10,10,20,23,6,0,18,10,68,,---,---,10.29,2.07,4.57,45%,0.21,0.50,43%,0.50,0.86,58%,0.71,0.71,1.43,1.64,0.43,0.00,1.29,0.71,4.86
